,date,rate
931,25.03.2021,27.8706
932,24.03.2021,27.7295
933,23.03.2021,27.6871
934,22.03.2021,27.7184
935,21.03.2021,27.6828
936,20.03.2021,27.6828
937,19.03.2021,27.6828
938,18.03.2021,27.6978
939,17.03.2021,27.6525
940,16.03.2021,27.6434
941,15.03.2021,27.7305
942,14.03.2021,27.7486
943,13.03.2021,27.7486
944,12.03.2021,27.7486
945,11.03.2021,27.7016
946,10.03.2021,27.7431
947,09.03.2021,27.7091
948,08.03.2021,27.7564
949,07.03.2021,27.7564
950,06.03.2021,27.7564
951,05.03.2021,27.7564
952,04.03.2021,27.8477
953,03.03.2021,27.933
954,02.03.2021,28.0007
955,01.03.2021,27.9456
956,28.02.2021,27.9301
957,27.02.2021,27.9301
958,26.02.2021,27.9301
959,25.02.2021,27.9492
960,24.02.2021,27.8976
961,23.02.2021,27.9304
962,22.02.2021,27.8468
963,21.02.2021,27.8461
964,20.02.2021,27.8461
965,19.02.2021,27.8461
966,18.02.2021,27.9038
967,17.02.2021,27.8304
968,16.02.2021,27.9671
969,15.02.2021,27.844
970,14.02.2021,27.8384
971,13.02.2021,27.8384
972,12.02.2021,27.8384
973,11.02.2021,27.7665
974,10.02.2021,27.6426
975,09.02.2021,27.6651
976,08.02.2021,27.7711
977,07.02.2021,27.8885
978,06.02.2021,27.8885
979,05.02.2021,27.8885
980,04.02.2021,27.995
981,03.02.2021,28.0589
982,02.02.2021,28.0603
983,01.02.2021,28.1324
984,31.01.2021,28.1929
985,30.01.2021,28.1929
986,29.01.2021,28.1929
987,28.01.2021,28.1652
988,27.01.2021,28.1524
989,26.01.2021,28.1665
990,25.01.2021,28.1648
991,24.01.2021,28.2561
992,23.01.2021,28.2561
993,22.01.2021,28.2561
994,21.01.2021,28.2035
995,20.01.2021,28.1544
996,19.01.2021,28.1926
997,18.01.2021,28.0524
998,17.01.2021,28.0524
999,16.01.2021,28.0524
